,Category,Series,ModelName,Colour&Chassis,Description,Warrenty,MRP
44,Platinum,ROG-Strix Hero II,GL504GV-ES034T,HERO Black,i7-8750H +RTX2060-6GB +16GB +1TB SSHD(FireCuda)+256GB PCIE SSD +15.6'+144Hz+3ms +Illuminated Chiclet Keyboard 4-Zone RGB +WIN 10 +Color: 1B-HERO Black,1Y,214990
45,Platinum,ROG-Zephyrus M,GM501GM-EI005T,Black Metal,i7-8750H +GTX1060-6GB +16GB +1TB SSHD(FireCuda)+256GB PCIE SSD +15.6'+144Hz+3ms +Illuminated Chiclet Keyboard 4-Zone RGB +WIN 10 +Color: Black Metal,2Y,214990
46,Platinum,ROG-Strix G,G731GT-H7179T,BLACK W+LIGHTBAR,i7-9750H +GTX1650-4GB +8GB +1TB PCIE SSD +17.3'+120Hz+16ms +RGB backlit Keyboard (1-Zone) +WIFI5(802.11AC)2*2 +WIN 10 +Color: 1C-G BLACK W+LIGHTBAR,1Y,118990
47,Platinum,ROG-Strix Hero II,GL504GM-ES152T,HERO Black,i7-8750H +GTX1060-6GB +16GB +1TB SSHD(FireCuda)+256GB PCIE SSD +15.6'+144Hz+3ms +Illuminated Chiclet Keyboard 4-Zone RGB +WIN 10 +Color: 1B-HERO Black,2Y,185990
48,Platinum,ROG-Strix Scar II,GL504GM-ES155T,SCAR Gunmatel,i7-8750H +GTX1060-6GB +16GB +1TB SSHD(FireCuda)+256GB PCIE SSD +15.6'+144Hz+3ms +Illuminated Chiclet Keyboard 4-Zone RGB +WIN 10 +Color: 1A-SCAR Gunmatel,2Y,185990
49,Platinum,ROG-Strix Scar III,G531GV-ES014T,SCAR Gunmetal,i7-9750H +RTX2060-6GB +16GB +1TB PCIE SSD +15.6'+144Hz+3ms +Illuminated Chiclet Keyboard Per-Key RGB+NumberPad +WIN 10 +Color: 1A-SCAR Gunmetal,1Y,201990
50,Platinum,ROG-Strix Scar III,G531GU-ES104T,SCAR Gunmetal,i7-9750H +GTX 1660Ti-6GB +16GB +1TB SSHD(FireCuda)+256GB PCIE SSD +15.6'+144Hz+3ms +Illuminated Chiclet Keyboard 4-Zone RGB+NumberPad +WIN 10 +Color: 1A-SCAR Gunmetal,1Y,181990
51,Platinum,ROG-Strix Hero III,G531GU-ES133T,HERO Black,i7-9750H +GTX 1660Ti-6GB +16GB +1TB SSHD(FireCuda)+256GB PCIE SSD +15.6'+144Hz+3ms +Illuminated Chiclet Keyboard 4-Zone RGB+NumberPad +WIN 10 +Color: 1B-HERO Black,1Y,181990
52,Premium,TUF Gaming,FX705DD-AU060T,BLACK PLASTIC,R5-3550H +GTX 1050-3GB +8GB +1TB HDD+256GB PCIE SSD +17.3'+60Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 1B-BLACK PLASTIC,1Y,76990
53,Platinum,ROG-Strix Scar III,G531GU-ES108T,SCAR Gunmetal,i7-9750H +GTX 1660Ti-6GB +8GB +512GB PCIE SSD +15.6'+144Hz+3ms +Illuminated Chiclet Keyboard 4-Zone RGB+NumberPad +WIN 10 +Color: 1A-SCAR Gunmetal,1Y,168990
54,Platinum,ROG-Strix G,G531GU-ES514T,BLACK W+LIGHTBAR,i7-9750H +GTX 1660Ti-6GB +16GB +1TB PCIE SSD +15.6'+144Hz+3ms +RGB backlit keyboard (1-Zone)+WIFI5(802.11AC)2*2 +WIN 10 +Color: 1C-G BLACK W+LIGHTBAR,1Y,149990
55,Premium,TUF Gaming,FX505GM-ES065T,GUN METAL,i7-8750H +GTX1060-6GB +16GB +1TB SSHD(FireCuda)+256GB PCIE SSD +15.6'+144Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 1A-GUN METAL,1Y,136990
56,Premium,TUF Gaming,FX705GM-EV024T,Gunmetal,i7-8750H +GTX1060-6GB +8GB +1TB SSHD(FireCuda)+256GB PCIE SSD +17.3'+144Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: Gunmetal,1Y,133990
57,Platinum,ROG-Zephyrus G,GA502DU-AL055T,Black Metal,R7-3750H +GTX 1660Ti Max-Q-6GB +16GB +1TB PCIE SSD +15.6'+120Hz+Backlit Keyboard +WIN 10 +Color: Black Metal,1Y,123990
58,Platinum,ROG-Strix G,G531GD-BQ026T,BLACK W+LIGHTBAR,i5-9300H +GTX 1050-4GB +8GB +512GB PCIE SSD +15.6'+60Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 1C-G BLACK W+LIGHTBAR,1Y,84990
59,Platinum,ROG-Strix G,G731GT-H7180T,BLACK W+LIGHTBAR,i5-9300H +GTX1650-4GB +8GB +1TB PCIE SSD +17.3'+120Hz+16ms +RGB backlit Keyboard (1-Zone) +WIFI5(802.11AC)2*2 +WIN 10 +Color: 1C-G BLACK W+LIGHTBAR,1Y,106990
60,Premium,TUF Gaming,FX504GM-EN394T,BLACK METAL,i7-8750H +GTX1060-6GB +8GB +1TB SSHD(FireCuda)+256GB PCIE SSD +15.6'+120Hz+3ms +Illuminated Chiclet Keyboard +WIN 10 +Color: 1C-BLACK METAL,1Y,114990
61,Platinum,ROG-Strix G,G731GT-AU016T,BLACK W+LIGHTBAR,i7-9750H +GTX 1650-4GB +8GB +1TB SSHD(FireCuda)+256GB PCIE SSD +17.3'+60Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 1C-G BLACK W+LIGHTBAR,1Y,110990
62,Premium,TUF Gaming,FX505GE-BQ030T,GUN METAL,i7-8750H +GTX 1050 Ti-4GB +8GB +1TB SSHD(FireCuda)+256GB PCIE SSD +15.6'+60Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 1A-GUN METAL,1Y,102990
63,Platinum,ROG-Zephyrus G,GA502DU-AL025T,Black Metal,R7-3750H +GTX 1660Ti Max-Q-6GB +16GB +512GB PCIE SSD +15.6'+120Hz+Illuminated Chiclet Keyboard +WIN 10 +Color: Black Metal,1Y,129990
64,Platinum,ROG-Zephyrus M,GU502GU-ES003T,Black metal,i7-9750H +GTX 1660Ti-6GB +16GB +512GB PCIE SSD +15.6'+144Hz+3ms +Illuminated Chiclet Keyboard Per-Key RGB +WIN 10 +Color: Black metal,1Y,185990
65,Premium,TUF Gaming,FX705DT-AU096T,GUN METAL,R7-3750H +GTX 1650-4GB +16GB +1TB HDD+256GB PCIE SSD +17.3'+60Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 1A-GUN METAL,1Y,103990
66,Premium,TUF Gaming,FX705DT-AU020T,GUN METAL,R7-3750H +GTX 1650-4GB +8GB +1TB HDD+256GB PCIE SSD +17.3'+60Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 1A-GUN METAL,1Y,94990
67,Premium,TUF Gaming,FX505DT-AL033T,GUN METAL,R7-3750H +GTX 1650-4GB +8GB +1TB HDD+256GB PCIE SSD +15.6'+120Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 1A-GUN METAL,1Y,90990
